type,text[1],name[2],layer[8],pt[10],real[40],real[41],real[44],real[45],real[46],color[62],int[63],int[70],int[71],int[72],int[73],long[90]
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;23^J^J}V^J{\H0.33333x;Vanadium}",,ELEMENTS,"45.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;24^J^J}Cr^J{\H0.33333x;Chromium}",,ELEMENTS,"55.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;25^J^J}Mn^J{\H0.33333x;Manganese}",,ELEMENTS,"65.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;26^J^J}Fe^J{\H0.33333x;Iron}",,ELEMENTS,"75.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;27^J^J}Co^J{\H0.33333x;Cobalt}",,ELEMENTS,"85.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;28^J^J}Ni^J{\H0.33333x;Nickel}",,ELEMENTS,"95.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;29^J^J}Cu^J{\H0.33333x;Copper}",,ELEMENTS,"105.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;30^J^J}Zn^J{\H0.33333x;Zinc}",,ELEMENTS,"115.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;31^J^J}Ga^J{\H0.33333x;Gallium}",,ELEMENTS,"125.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;32^J^J}Ge^J{\H0.33333x;Germanium}",,ELEMENTS,"135.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,91,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;33^J^J}As^J{\H0.33333x;Arsenic}",,ELEMENTS,"145.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,91,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;34^J^J}Se^J{\H0.33333x;Selenium}",,ELEMENTS,"155.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,3,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;35^J^J}Br^J{\H0.33333x;Bromine}",,ELEMENTS,"165.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,90,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;36^J^J}Kr^J{\H0.33333x;Krypton}",,ELEMENTS,"175.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,5,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;37^J^J}Rb^J{\H0.33333x;Rubidium}",,ELEMENTS,"5.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,1,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;38^J^J}Sr^J{\H0.33333x;Strontium}",,ELEMENTS,"15.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,30,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;39^J^J}Y^J{\H0.33333x;Yttrium}",,ELEMENTS,"25.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;40^J^J}Zr^J{\H0.33333x;Zirconium}",,ELEMENTS,"35.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;41^J^J}Nb^J{\H0.33333x;Niobium}",,ELEMENTS,"45.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;42^J^J}Mo^J{\H0.33333x;Molybdenum}",,ELEMENTS,"55.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;43^J^J}Tc^J{\H0.33333x;Technetium}",,ELEMENTS,"65.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;44^J^J}Ru^J{\H0.33333x;Ruthenium}",,ELEMENTS,"75.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;45^J^J}Rh^J{\H0.33333x;Rhodium}",,ELEMENTS,"85.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;46^J^J}Pd^J{\H0.33333x;Palladium}",,ELEMENTS,"95.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;47^J^J}Ag^J{\H0.33333x;Silver}",,ELEMENTS,"105.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;48^J^J}Cd^J{\H0.33333x;Cadmium}",,ELEMENTS,"115.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;49^J^J}In^J{\H0.33333x;Indium}",,ELEMENTS,"125.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;50^J^J}Sn^J{\H0.33333x;Tin}",,ELEMENTS,"135.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;51^J^J}Sb^J{\H0.33333x;Antimony}",,ELEMENTS,"145.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,91,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;52^J^J}Te^J{\H0.33333x;Tellurium}",,ELEMENTS,"155.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,91,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;53^J^J}I^J{\H0.33333x;Iodine}",,ELEMENTS,"165.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,90,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;54^J^J}Xe^J{\H0.33333x;Xenon}",,ELEMENTS,"175.000,25.000,0.0",3.00,10.00,0.35,1.0,10.00,,5,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;55^J^J}Cs^J{\H0.33333x;Caesium}",,ELEMENTS,"5.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,1,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;56^J^J}Ba^J{\H0.33333x;Barium}",,ELEMENTS,"15.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,30,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;57^J^J}La^J{\H0.33333x;Lanthanum}",,ELEMENTS,"25.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;72^J^J}Hf^J{\H0.33333x;Hafnium}",,ELEMENTS,"35.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;73^J^J}Ta^J{\H0.33333x;Tantalum}",,ELEMENTS,"45.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;74^J^J}W^J{\H0.33333x;Tungsten}",,ELEMENTS,"55.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;75^J^J}Re^J{\H0.33333x;Rhenium}",,ELEMENTS,"65.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;76^J^J}Os^J{\H0.33333x;Osmium}",,ELEMENTS,"75.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;77^J^J}Ir^J{\H0.33333x;Iridium}",,ELEMENTS,"85.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;78^J^J}Pt^J{\H0.33333x;Platinum}",,ELEMENTS,"95.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;79^J^J}Au^J{\H0.33333x;Gold}",,ELEMENTS,"105.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;80^J^J}Hg^J{\H0.33333x;Mercury}",,ELEMENTS,"115.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;81^J^J}Tl^J{\H0.33333x;Thallium}",,ELEMENTS,"125.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;82^J^J}Pb^J{\H0.33333x;Lead}",,ELEMENTS,"135.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;83^J^J}Bi^J{\H0.33333x;Bismuth}",,ELEMENTS,"145.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;84^J^J}Po^J{\H0.33333x;Polonium}",,ELEMENTS,"155.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;85^J^J}At^J{\H0.33333x;Astatine}",,ELEMENTS,"165.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,90,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;86^J^J}Rn^J{\H0.33333x;Radon}",,ELEMENTS,"175.000,15.000,0.0",3.00,10.00,0.35,1.0,10.00,,5,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;87^J^J}Fr^J{\H0.33333x;Francium}",,ELEMENTS,"5.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,1,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;88^J^J}Ra^J{\H0.33333x;Radium}",,ELEMENTS,"15.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,30,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;89^J^J}Ac^J{\H0.33333x;Actinium}",,ELEMENTS,"25.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;104^J^J}Rf^J{\H0.33333x;\W0.947;Rutherfordium}",,ELEMENTS,"35.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;105^J^J}Db^J{\H0.33333x;Dubnium}",,ELEMENTS,"45.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;106^J^J}Sg^J{\H0.33333x;Seaborgium}",,ELEMENTS,"55.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;107^J^J}Bh^J{\H0.33333x;Bohrium}",,ELEMENTS,"65.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;108^J^J}Hs^J{\H0.33333x;Hassium}",,ELEMENTS,"75.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;109^J^J}Mt^J{\H0.33333x;Meitnerium}",,ELEMENTS,"85.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;110^J^J}Ds^J{\H0.33333x;\W0.974;Darmstadtium}",,ELEMENTS,"95.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;111^J^J}Rg^J{\H0.33333x;Roentgenium}",,ELEMENTS,"105.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;112^J^J}Cn^J{\H0.33333x;Copernicium}",,ELEMENTS,"115.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;113^J^J}Nh^J{\H0.33333x;Nihonium}",,ELEMENTS,"125.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;114^J^J}Fl^J{\H0.33333x;Flerovium}",,ELEMENTS,"135.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;115^J^J}Mc^J{\H0.33333x;Moscovium}",,ELEMENTS,"145.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;116^J^J}Lv^J{\H0.33333x;Livermorium}",,ELEMENTS,"155.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;117^J^J}Ts^J{\H0.33333x;Tennessine}",,ELEMENTS,"165.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,90,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;118^J^J}Og^J{\H0.33333x;Oganesson}",,ELEMENTS,"175.000,5.000,0.0",3.00,10.00,0.35,1.0,10.00,,5,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;58^J^J}Ce^J{\H0.33333x;Cerium}",,ELEMENTS,"25.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;59^J^J}Pr^J{\H0.33333x;\W0.974;Praseodymium}",,ELEMENTS,"35.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;60^J^J}Nd^J{\H0.33333x;Neodymium}",,ELEMENTS,"45.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;61^J^J}Pm^J{\H0.33333x;Promethium}",,ELEMENTS,"55.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;62^J^J}Sm^J{\H0.33333x;Samarium}",,ELEMENTS,"65.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;63^J^J}Eu^J{\H0.33333x;Europium}",,ELEMENTS,"75.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;64^J^J}Gd^J{\H0.33333x;Gadolinium}",,ELEMENTS,"85.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;65^J^J}Tb^J{\H0.33333x;Terbium}",,ELEMENTS,"95.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;66^J^J}Dy^J{\H0.33333x;Dysprosium}",,ELEMENTS,"105.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;67^J^J}Ho^J{\H0.33333x;Holmium}",,ELEMENTS,"115.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;68^J^J}Er^J{\H0.33333x;Erbium}",,ELEMENTS,"125.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;69^J^J}Tm^J{\H0.33333x;Thulium}",,ELEMENTS,"135.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;70^J^J}Yb^J{\H0.33333x;Ytterbium}",,ELEMENTS,"145.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;71^J^J}Lu^J{\H0.33333x;Lutetium}",,ELEMENTS,"155.000,-10.000,0.0",3.00,10.00,0.35,1.0,10.00,,221,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;90^J^J}Th^J{\H0.33333x;Thorium}",,ELEMENTS,"25.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;91^J^J}Pa^J{\H0.33333x;\W0.974;Protactinium}",,ELEMENTS,"35.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;92^J^J}U^J{\H0.33333x;Uranium}",,ELEMENTS,"45.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;93^J^J}Np^J{\H0.33333x;Neptunium}",,ELEMENTS,"55.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;94^J^J}Pu^J{\H0.33333x;Plutonium}",,ELEMENTS,"65.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;95^J^J}Am^J{\H0.33333x;Americium}",,ELEMENTS,"75.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;96^J^J}Cm^J{\H0.33333x;Curium}",,ELEMENTS,"85.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;97^J^J}Bk^J{\H0.33333x;Berkelium}",,ELEMENTS,"95.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;98^J^J}Cf^J{\H0.33333x;Californium}",,ELEMENTS,"105.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;99^J^J}Es^J{\H0.33333x;Einsteinium}",,ELEMENTS,"115.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;100^J^J}Fm^J{\H0.33333x;Fermium}",,ELEMENTS,"125.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;101^J^J}Md^J{\H0.33333x;Mendelevium}",,ELEMENTS,"135.000,-20.000,0.0",3.00,10.00,0.35,1.0,10.00,,43,,5,1,1,1
