type,text[1],name[2],text[3],linetype[6],style[7],layer[8],pt[10],pt[11],pt[12],pt[13],pt[14],pt[15],pt[16],real[40],real[41],real[42],real[43],real[44],real[45],real[46],real[47],real[48],real[49],angle[50],angle[51],angle[52],angle[53],color[62],int[63],seq[66],int[70],int[71],int[72],int[73],int[74],int[75],int[76],int[77],int[78],int[79],long[90],long[91],long[92],long[93],long[94],long[98],real[140],real[141],real[142],real[144],int[170],int[175],int[179],pt[213],char[271],char[272],char[277],char[280],char[281],bool[291],bool[292],string[304],lwt[370],plotst[380],long[420],long[421],trans[440],long[450],long[452],long[453],real[462],real[463],string[470]
STYLE,,nonprop,consola.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMSTYLE,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMSTYLE,,arch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,,,
DIMSTYLE,,arc,',,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0833333333333333,,,,,2,2,,,,,,,,,,,,,,,,,
ENDSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,BLOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,,blockname,,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARC,,,,,,0,"-0.25,0.75,0.0",,,,,,,0.7905694150420949,,,,,,,,,,288.434948822922,18.434948822922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTDEF,-,TAG,prompt,,,0,"1.0,0.0,0.0",,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,,site-plan,,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,siteboundry,"-418.752245,1012.149971,0.0","220.476255,1088.839971,0.0",,"863.893,1130.62,0.0","-414.564,977.24,0.0",,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,dimensions-arc,"1559.769901,851.07116,0.0","1263.111401,1328.69616,0.0",,"863.893,1742.62,0.0","1457.21,787.37,0.0",,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,dimensions-arc,"-418.752245,1624.149971,0.0","220.476255,1700.839971,0.0",,"863.893,1742.62,0.0","-414.564,1589.24,0.0",,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,dimensions-arc,"-518.677593,1492.110811,0.0","-488.754093,1551.775811,0.0",,"-414.564,1589.24,0.0","-474.411,1469.91,0.0",,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,dimensions-arc,"144.0,612.0,0.0","293.319912,733.497086,0.0",,"0.0,612.0,0.0","144.0,756.0,0.0","0.0,612.0,0.0","306.669072,694.17173,0.0",,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,dimensions-arc,"144.0,528.0,0.0","72.0,528.0,0.0",,"0.0,612.0,0.0","144.0,612.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,dimensions-arc,"144.0,612.0,0.0","-121.237556,904.693351,0.0",,"0.0,612.0,0.0","144.0,756.0,0.0","0.0,612.0,0.0","0.0,928.809,0.0",,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arc,,,dimensions-arc,"413.804065,850.909888,0.0","337.869604,949.869604,0.0",,"144.0,612.0,0.0","0.0,816.0,0.0","0.0,612.0,0.0",,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,,separate-garage,,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATCH,,FP_2,,,,A-FLOR-PATT,"0.0,0.0,0.0 52.904275,-12.342067 74.627253,-2.138527 -19.779382,198.849879 -28.68858,189.649845 -37.752476,180.662967 -4.970153,110.870555 107.21172,13.166783 128.934697,23.370323 22.98299,248.937783 14.735972,238.417317 6.266891,228.074774 61.319101,110.870555 -700.0,-200.0","74.627253,-2.138527 -19.779382,198.849879 -28.68858,189.649845 -37.752476,180.662967 -4.970153,110.870555 52.904275,-12.342067 128.934697,23.370323 22.98299,248.937783 14.735972,238.417317 6.266891,228.074774 61.319101,110.870555 107.21172,13.166783",,,,,,,,,"37.62499999999977,42.327","118.977,117.28","6.400193761705796,6.400193761705796","3.006246798355415,3.006246798355415",,,"15.0,-5.0,15.0,-5.0",,,,"340.16,70.16",,,,,,"1,1,1,1,1,1,1,1,1,1,1,1",,,0,2,0,2,"2,2",,2,"1,1","6,6",,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
HATCH,,FP_3,,,,A-FLOR-PATT,"0.0,0.0,0.0 102.773229,-386.653552 167.942163,-356.042932 -3.974003,9.960542 34.041209,27.816737 18.735899,60.401204 -19.279313,42.545009 -239.693939,26.842125 -236.922507,-12.059278 -52.823036,1.056424 -0.497158,-110.343532 -22.220136,-120.547072 88.395058,-356.042932 55.764187,38.020277 88.348654,53.325587 73.043344,85.910054 40.458877,70.604744 -700.0,-200.0","167.942163,-356.042932 -3.974003,9.960542 34.041209,27.816737 18.735899,60.401204 -19.279313,42.545009 -239.693939,26.842125 -236.922507,-12.059278 -52.823036,1.056424 -0.497158,-110.343532 -22.220136,-120.547072 88.395058,-356.042932 102.773229,-386.653552 88.348654,53.325587 73.043344,85.910054 40.458877,70.604744 55.764187,38.020277",,,,,,,,,"-93.66099999999994,-88.95800000000008","-190.313,-192.01","6.400193761705796,6.400193761705796","3.006246798355415,3.006246798355415",,,"15.0,-5.0,15.0,-5.0",,,,"340.16,70.16",,,,,,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",,,0,2,0,2,"2,2",,2,"1,1","12,4",,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
HATCH,,FP_4,,,,A-FLOR,"0.0,0.0,0.0 167.942163,-356.042932 320.003009,-284.618152 166.949909,41.226518 14.889063,-30.198262 164.193097,-348.061302 -700.0,-200.0","320.003009,-284.618152 166.949909,41.226518 14.889063,-30.198262 164.193097,-348.061302 167.942163,-356.042932",,,,,,,,,"-700.0,-700.0,-697.705,-700.0,-696.585,-700.0,-696.1599999999999,-696.1599999999999,-694.2499999999999,-700.0,-700.0,-700.0,-700.0,-708.563,-708.563,-712.403,-712.403","-200.0,-200.0,-200.20081,-192.32,-192.85,-192.32,-194.24,-194.24,-195.528,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0","27.54270046216776,-5.327844435381703,22.21531621912824,40.98187469590782,35.89074818015426,35.89097341714983,22.92103572469458,9.343532092013643,32.26476914719338,0.4668550243151899,0.4668550243151899,10.10158952275669,10.10158952275669,20.49916090120071,20.49916090120071,22.39477935398379,22.39477935398379","-2.409921005199992,28.88426558997774,26.47392965322938,-6.356421902997745,37.40618916795393,37.40621617016941,-15.46073055541925,27.84573814869183,12.38442158028859,12.78270704452979,12.78270704452979,15.14509036333994,15.14509036333994,-0.8657796178497925,-0.8657796178497925,3.844287929692772,3.844287929692772",,,"2.879999999999999,-31.68,2.303999999999998,-25.344,2.447999999999999,-26.924,4.32,-47.52,3.670999999999998,-40.38599999999997,3.455999999999999,-38.016,2.879999999999999,-31.68,2.303999999999998,-25.344,2.447999999999999,-26.924,1.266999999999999,-23.77,1.266999999999999,-24.461,-25.44,-50.765,1.266999999999999,-24.173,1.266999999999999,-13.402,1.266999999999999,-23.194,-9.696,-39.13,1.266999999999999,-8.429,1.266999999999999,-8.333,1.266999999999999,-28.685,-39.744,-39.552,1.266999999999999,-38.477,1.266999999999999,-11.213,1.266999999999999,-18.624,-28.224,-32.371,1.266999999999999,-26.957",,,,"50.0,355.0,100.451,46.184,96.63599999999998,351.1840000000001,21.0,326.0,71.45100000000001,37.5,37.5,7.499999999999999,7.499999999999999,327.5,327.5,317.5,317.5",9,,,,,"1,1,1,1,1",,,0,2,0,17,"2,2,2,2,2,2,2,2,2,5,3,5,3,5,3,5,3",,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATCH,,FP_6,,,,A-DETL-GENF,"0.0,0.0,0.0 422.865811,-313.087328 431.011927,-309.261001 87.969908,421.063399 64.004435,507.28962 55.33313,504.879542 79.501564,417.923083 297.734904,-46.688025 -700.0,-200.0","431.011927,-309.261001 87.969908,421.063399 64.004435,507.28962 55.33313,504.879542 79.501564,417.923083 297.734904,-46.688025 422.865811,-313.087328",,,,,,,,,"-700.0,-700.0","-200.0,-200.0","-6.363961030678925,-6.363961030678925","6.363961030678925,-6.363961030678924",,,,,,,"45.0,135.0",55,,,,,"1,1,1,1,1,1,1",,,0,2,0,2,"0,0",,1,1,7,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
ENDBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,,mlines,,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLINE,,STANDARD,,Continuous,,mline,"12.0,132.0,0.0","12.0,132.0,0.0 24.0,132.0,0.0 24.0,120.0,0.0 12.0,120.0,0.0","1.0,0.0,0.0 0.0,-1.0,0.0 -1.0,0.0,0.0 0.0,1.0,0.0","-0.707107,0.707107,0.0 0.707107,0.707107,0.0 0.707107,-0.707107,0.0 -0.707107,-0.707107,0.0",,,,1.0,"0.0,0.0,-1.414213562373094,0.0,0.0,0.0,-1.414213562373094,0.0,0.0,0.0,-1.414213562373094,0.0,0.0,0.0,-1.414213562373094,0.0",,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLINE,,STANDARD,,Continuous,,mline,"36.0,120.0,0.0","36.0,120.0,0.0 36.0,132.0,0.0 48.0,132.0,0.0 48.0,120.0,0.0","0.0,1.0,0.0 1.0,0.0,0.0 0.0,-1.0,0.0 -1.0,0.0,0.0","-0.707107,-0.707107,0.0 -0.707107,0.707107,0.0 0.707107,0.707107,0.0 0.707107,-0.707107,0.0",,,,1.0,"1.414213562373094,0.0,0.0,0.0,1.414213562373094,0.0,0.0,0.0,1.414213562373094,0.0,0.0,0.0,1.414213562373094,0.0,0.0,0.0",,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLINE,,STANDARD,,Continuous,,mline,"60.0,72.0,0.0","60.0,72.0,0.0 60.0,132.0,0.0 132.0,132.0,0.0 132.0,12.0,0.0 60.0,12.0,0.0 60.0,132.0,0.0","0.0,1.0,0.0 1.0,0.0,0.0 0.0,-1.0,0.0 -1.0,0.0,0.0 0.0,1.0,0.0 1.0,0.0,0.0","-1.0,0.0,0.0 -0.707107,0.707107,0.0 0.707107,0.707107,0.0 0.707107,-0.707107,0.0 -0.707107,-0.707107,0.0 -0.707107,0.707107,0.0",,,,6.0,"6.0,2.0,0.0,2.0,8.48528137423857,0.0,0.0,0.0,8.48528137423857,0.0,0.0,0.0,8.48528137423857,0.0,0.0,0.0,8.48528137423857,0.0,0.0,0.0,8.48528137423857,0.0,0.0,0.0",,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLINE,,STANDARD,,Continuous,,mline,"60.0,72.0,0.0","60.0,72.0,0.0 108.0,72.0,0.0 108.0,132.0,0.0","1.0,0.0,0.0 0.0,1.0,0.0 0.0,1.0,0.0","0.0,1.0,0.0 -0.707107,0.707107,0.0 -1.0,0.0,0.0",,,,4.0,"2.0,0.0,12.0,24.0,-2.0,0.0,2.828427124746188,0.0,22.0,34.0,-2.828427124746188,0.0,26.0,38.0,2.0,0.0,-2.0,0.0",,,,,,,,,,,,,,,,1,,,,"4,2,4,4,2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLINE,,STANDARD,,ZIGZAG,,mline,"36.0,60.0,0.0","36.0,60.0,0.0 0.0,60.0,0.0 0.0,108.0,0.0 33.0,108.0,0.0 24.0,84.0,0.0","-1.0,0.0,0.0 0.0,1.0,0.0 1.0,0.0,0.0 -0.351123,-0.936329,0.0 -0.351123,-0.936329,0.0","0.0,-1.0,0.0 -0.707107,-0.707107,0.0 -0.707107,0.707107,0.0 0.821926,0.569595,0.0 0.936329,-0.351123,0.0",,,,4.0,"2.0,0.0,-2.0,0.0,2.828427124746188,0.0,-2.828427124746188,0.0,2.828427124746188,0.0,-2.828427124746188,0.0,3.51126777738384,0.0,-3.51126777738384,0.0,2.0,0.0,-2.0,0.0",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLINE,,STANDARD,,CENTER,,mline,"72.0,48.0,0.0","72.0,48.0,0.0 120.0,48.0,0.0","1.0,0.0,0.0 1.0,0.0,0.0","0.0,1.0,0.0 0.0,1.0,0.0",,,,4.0,"2.0,0.0,-2.0,0.0,2.0,0.0,-2.0,0.0",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,C:\program files\autodesk\autocad 2027\support\chroma.dwg,chroma,,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXT,"_ai: Layers with '|' in name are xref-dependent (xref_name|layer_name — AutoCAD's xref separator). They appear in the LAYER table because AutoCAD exports all defined layers, including xref layers that are referenced but never used on any entity in this drawing. int[70]=16 = xref-dependent flag. int[70]=2 on other version layers = frozen.",,,,nonprop,_ai,"0.0,0.0,0.0",,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXT,_ai: BLOCK int[70]=4 = xref block definition (external reference). Distinct from int[70]=2 (has-attributes) and int[70]=0 (regular block). Xref blocks appear in the BLOCKS section but their geometry comes from the external file — entities inside are not present in CSVOUT. The INSERT that references this block will appear in ENTITIES as normal.,,,,nonprop,_ai,"0.0,0.0,0.0",,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DFACE,,,,,,r12,"1.0,1.0,0.0","2.0,1.0,0.0","2.0,2.0,0.0","1.0,2.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARC,,,,,,r12,"3.75,1.75,0.0",,,,,,,0.7905694150420949,,,,,,,,0.0398406374501992,,288.434948822922,18.43494882292201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTDEF,-,TAG,prompt,,,r12,"5.0,1.0,0.0",,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERT,,blockname,,,,r12,"6.0,1.0,0.0",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTRIB,-,TAG,,,,0,"7.0,1.0,0.0",,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEQEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLE,,,,,,r12,"1.5,1.5,0.0",,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,arch,,,r12,"2.0,3.5,0.0","1.5,3.5,0.0",,"1.0,3.0,0.0","2.0,3.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLIPSE,,,,,,r13,"5.0,3.5,0.0","0.0,-0.5,0.0",,,,,,0.5,,6.283185307179586,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATCH,,ANSI31,,,,r14,"0.0,0.0,0.0 6.0,3.0 7.0,3.0 7.0,4.0 6.0,4.0 0.0,0.0","7.0,3.0 7.0,4.0 6.0,4.0 6.0,3.0",,,,,,,,,0.0,0.0,-0.0883883476483185,0.0883883476483185,,,,,,,45.0,,,,,,"1,1,1,1",,,1,1,0,1,0,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELIX,,,,,,v2007,"7.5,3.5,0.0","8.0,3.5,0.0","0.0,0.0,1.0",,,,,0.0,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
LEADER,,,Standard,,,r14,"1.5,1.5,0.0 1.75,2.25,0.0 1.82,2.5,0.0 2.0,2.5,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,"-0.16,0.0,0.0",,,,,,,,,,,,,,,,,,,
MTEXT,\A1;leader,,,,,r14,"2.25,2.5,0.0",,,,,,,0.18,0.0,,,,,0.0,,,,,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE,,,,CENTER,,r12,"0.0,1.5,0.0","4.0,1.5,0.0",,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LWPOLYLINE,,,,,,polylines,"6.0,5.0 7.0,5.0 7.0,6.0 6.5,6.0",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTILEADER,,,,,,v2018,"7.958063,4.66,0.0 9.0,4.66,0.0 9.0,5.5,0.0 1.0,1.0,1.0","0.0,0.0,1.0 -1.0,0.0,0.0","8.55,4.751473,0.0",,,,,"1.0,0.36",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1073741824,0,279552",,,,,,,,,,,,,,,,,,,,,line1\Pline2,,,,,,,,,,,
MLINE,,STANDARD,,,,r12,"1.25,5.0,0.0","1.25,5.0,0.0 2.0,5.0,0.0 2.0,5.5,0.0","1.0,0.0,0.0 0.0,1.0,0.0 0.0,1.0,0.0","0.0,1.0,0.0 -0.707107,0.707107,0.0 -1.0,0.0,0.0",,,,0.1,"0.0,0.0,-0.1,0.0,0.0,0.0,-0.1414213562373094,0.0,0.0,0.0,-0.1,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
